,,,,,,Ratings,(Out of 10),,,,,,,,
,Travel Time (mins),Menu Link,Comments,Median Rating,Price Bin,Lord Commander,Honorable Vice Chairman,Soondae rights activist,Indian Hangi Enthusiast,Window Man,Disgraced Economist,Food Bureau Investigation,Energy Chairman,Absentee,
APPROVED (7 or above),,,,,,,,,,,,,,,
Taco Bell,5,,,"=IFERROR(MEDIAN(G29:N29,VLOOKUP(F29,$C$42:$D$47,2,FALSE)),"""")",Cheap-Average,,1,,10,3,-5,,,,
Sal's Pizza (Fort St),3,,,"=IFERROR(MEDIAN(G30:N30,VLOOKUP(F30,$C$42:$D$47,2,FALSE)),"""")",Average,,5,,4,,,5,,5,
Ima,3,,"=CONCAT(E31, "" Star of Davids out of 10"")","=IFERROR(MEDIAN(G31:N31,VLOOKUP(F31,$C$42:$D$47,2,FALSE)),"""")",High,,4,5,,5,5,6,,,
Monsoon Poon,9,https://www.monsoonpoon.co.nz/wp-content/uploads/2020/10/AK-MainsCocktail.pdf,@monsoonpoonauckland on Instagram add #PoonPics to your photos,"=IFERROR(MEDIAN(G32:N32,VLOOKUP(F32,$C$42:$D$47,2,FALSE)),"""")",Average,,6,5,,,,6,,7,
,,,,,,,,,,,,,,,
BLACKLIST (less than 5),,,,"=IFERROR(MEDIAN(G34:N34,VLOOKUP(F34,$C$42:$D$47,2,FALSE)),"""")",,,,,,,,,,,
Teolbo (Soondae),4,SUFFERING,CLOSED TUESDAY AND WEDNESDAY,"=IFERROR(MEDIAN(G35:N35,VLOOKUP(F35,$C$42:$D$47,2,FALSE)),"""")",Average,,4,8.5,1,1,,4,,,
Lord of the Fries,4,,"Vegan burgers (burger alone is not filling enough, get chips too)","=IFERROR(MEDIAN(G36:N36,VLOOKUP(F36,$C$42:$D$47,2,FALSE)),"""")",Average-High,,5,6,4,5,0,,,,
Mentatz,11,,"DO NOT ORDER THE RAMEN, IN FACT DON'T GO AT ALL.","=IFERROR(MEDIAN(G37:N37,VLOOKUP(F37,$C$42:$D$47,2,FALSE)),"""")",Cheap-Average,0,0,4,0,3,,,,,
"Celine Mediterranean ""Cuisine""",12,,"""i feel ill for a whole afternoon and had onion breath into the evening."" <- always has onion breath","=IFERROR(MEDIAN(G38:N38,VLOOKUP(F38,$C$42:$D$47,2,FALSE)),"""")",Cheap,,4,4,9,2,,,,,
Daikoku,3,,,"=IFERROR(MEDIAN(G39:N39,VLOOKUP(F39,$C$42:$D$47,2,FALSE)),"""")",Cheap-Average,,4,5,1,7,3,,,,
,,,,,,,,,,,,,,,
Price Bin Key (per person) -  ,,Scale,,,,,,,,,,,,,
$7.50 - $12.50 = Cheap ,,Cheap,9,,,,,,,,,,,,
$13 - $15 = Cheap-Average ,,Cheap-Average,7,,,,,,,,,,,,
$15.50 - $19 = Average ,,Average,5,,,,,,,,,,,,
$19.50 - $25 = Average-High ,,Average-High,3,,,,,,,,,,,,
$25-$30 = High ,,High,1,,,,,,,,,,,,
>$30 = You should probably buy lunch for everyone! ,,,0,,,,,,,,,,,,
